DocPac Date|Changed Info
3-Sep|Department and Name required on DocPacs
3-Sep|Permanent changes made to DocPacs are now listed here each week
3-Sep|Each week's important events are now listed on the front of the DocPac
3-Sep|A new icon ( ) means this needs to be reviewed and signed off by Mr.Smith during the week, before final submission of your DocPAc. It also means you must be present in class to recieve this assignment
3-Sep|Docpacs are now in github repository for students to fork and make pull requests. Having pull requests yields extra credit.
3-Sep|"Checkboxes circled with ""OK"" decrease the maximum number of checks available for grading, but can still count towards your store if completed anyways"
10-Sep|Notebook entries will now be stored in the DocPac binder
10-Sep|Portfolio entries will now be stored in the DocPac binder
10-Sep|DocPacs now available for editing on Github
10-Sep|Qr Codes provided on the DocPac when available
17-Sep|"To reduce confusion, ""Companies"" and ""Departments"" are just called ""Teams"""
17-Sep|Some tasks can now be worth mutiple check marks when scored
24-Sep|Reflections reduced to two questions per week. They will change each Week so look for them!
24-Sep|You will now be graded on the physical condition of your DocPacs
24-Sep|"Added """" to indicate Mr.Smith will manually grade these without any need for submission. The task must be completed by the end of the day that the DocPac is submitted."
1-Oct|"Your notebook and Portfolio pages will now be penalized per major mistake made, rather than ""present/complete/no errors"""
1-Oct|You can now elect to share a submission with another team member by indicating their name on that submission on the back of the DocPac
8-Oct|Grading Rubric: Checkmark is for credit. Cross mark is for missed.
22-Oct|To get credit for showing your team website, it must be running on your computer from your git branch/fork. you cannot get credit for others having it checked
12-Nov|DocPac review now a part of Weekly Review
12-Nov|Reflection instructions clarified in DocPac
17-Dec|Softcore memes allowed in #general. No Spam
7-Jan|Reflection questions have changed
4-Feb|New grading system
4-Feb|Single: This assignment should only be completed by you. Do not share.
4-Feb|Pairs: Only one or two people may complete this assignment. Do not share.
4-Feb|Teams: Your whole team can complete and share this project with each other.
