DocPac Date|Event Date|Type|Event Text
3-Sep|30-Aug|Pictures|
3-Sep|30-Aug|Lesson|Reviewing Data Sharing and Cloud Services
3-Sep|31-Aug|data missing|
3-Sep|1-Sep|Lesson|Git Review
3-Sep|3-Sep|No school until Sept. 7th
10-Sep|7-Sep|Review|Weekly Review
10-Sep|7-Sep|Video|Imposter Syndrome (Extra Credits)
10-Sep|7-Sep|Lecture|The Importance of Documentation
10-Sep|9-Sep|Live Tutorial|Accessing the DocPac Git Repo on Github
10-Sep|10-Sep|DocPacs|Sep3 and Sep10 due for grading
17-Sep|13-Sep|Review|Quick Weekly Review
17-Sep|14-Sep|Live Tutorial|Updating DocPacs Lesson
17-Sep|15-Sep|Last Weeks DocPac Full Review
17-Sep|15-Sep|Live Tutorial|Building a Schedule
17-Sep|15-Sep|Live Tutorial|Building an ExpressJS Application
17-Sep|17-Sep|Live Tutorial|Parsing Query Params in ExpressJS
17-Sep|17-Sep|DocPacs|All Updated due
24-Sep|20-Sep|Review|Weekly Review
24-Sep|21-Sep|Live Tutorial|Using Git Repo branches
24-Sep|23-Sep|Live Tutorial|ExpressJS and EJS Templating
24-Sep|24-Sep|DocPacs |Due
24-Sep|4-Oct|IT Fundamentals |rotation begins
24-Sep|11-Oct|No School|
1-Oct|27-Sep|Review|Weekly Review
1-Oct|27-Sep|Lesson|Notebook Development
1-Oct|29-Sep|Lesson|Project Management with KanBan
1-Oct|1-Oct|Assessment|ExpressJS HTTP Server
8-Oct|4-Oct|Review|Weekly Review
8-Oct|5-Oct|Lesson|Working with JSON Files
8-Oct|7-Oct|Lesson|Reading Query Parameters
15-Oct|12-Oct|Review|Weekly Review
15-Oct|12-Oct|Lesson|HTTP Post Requests
15-Oct|14-Oct|Discussion|Meritocracy and Teams
15-Oct|15-Oct|End-of-Week |Code Review
22-Oct|18-Oct|Review|Weekly Review
22-Oct|18-Oct|Presentation|Available Team Projects
22-Oct|20-Oct|Pre-Nocti |Test
29-Oct|25-Oct|Review|Weekly Review
29-Oct|26-Oct|Interview|Teams A, B, C 
29-Oct|27-Oct|Interview|Team D 
29-Oct|28-Oct|Interview|Teams E, F, G 
29-Oct|29-Oct|Exam|nodeJS/ExpressJS/EJS 
5-Nov|2-Nov|Review|Weekly Review
5-Nov|3-Nov|Lesson|Sending Professional Emails
5-Nov|4-Nov|Presentation|DenMark in Auditorium @ 8:30AM
5-Nov|4-Nov|Lesson|The Contract
5-Nov|5-Nov|Exam|ExpressJS Exam Retake
12-Nov|8-Nov|Email|Check your emails before class begins
12-Nov|8-Nov|8:15am|8:15am
12-Nov|8-Nov|8:45am|Private Meetings
12-Nov|8-Nov|9:50am|Brainstorming Design Questions
12-Nov|9-Nov|1:40pm|Teams A, C, D receive projects
12-Nov|10-Nov|9:05am|Teams E, F, G receive projects
12-Nov|10-Nov|Minimum Viable Product and Making Plans
12-Nov|11-Nov|Exam|Exam Preparation Plans
19-Nov|15-Nov|Pre-Nocti|Juniors to Pre-Nocti
19-Nov|16-Nov|Review|Weekly Review
19-Nov|16-Nov|Lesson|Scheduling a Meeting
19-Nov|16-Nov|Lesson|Design an MVP
19-Nov|19-Nov|Interview|Senior Interviews
3-Dec|30-Nov|Review|Weekly Review
3-Dec|30-Nov|Lesson|JS Bootcamp
3-Dec|1-Dec|Intervention|
3-Dec|1-Dec|Lesson|JS Bootcamp
3-Dec|2-Dec|Lesson|Lesson
3-Dec|3-Dec|Lesson|Lesson
10-Dec|6-Dec|Review|Weekly Review
10-Dec|7-Dec|Lesson|Ordered and Unordered Collections
10-Dec|8-Dec|Intervention|Schedule
10-Dec|9-Dec|Lesson|Iterating Through Collections
10-Dec|10-Dec|DocPacs|Due
17-Dec|13-Dec|Review|Weekly Review
17-Dec|13-Dec|Lesson|Github Project Management
17-Dec|15-Dec|Intervention |Intervention Schedule
17-Dec|15-Dec|Bootcamp|Canvas + Iterators
17-Dec|16-Dec|DocPacs |Early Submission (Optional)
17-Dec|17-Dec|Free Day|No work required
22-Dec|20-Dec|Review|Weekly Review
22-Dec|20-Dec|Review|Github Review
22-Dec|21-Dec|Lesson|Flow Charts
22-Dec|22-Dec|DocPacs|Final Submissions
7-Jan|3-Jan|Review|Weekly Review
7-Jan|3-Jan|Review|Github Review
7-Jan|3-Jan|Lesson|Examining the NOCTI Requirements
7-Jan|5-Jan|Lesson|Building NOCTI Flowchart
7-Jan|7-Jan|Lesson|Programming NOCTI Application
14-Jan|10-Jan|DocPacs|Jan07 Due
14-Jan|10-Jan|Lesson|Routines
14-Jan|11-Jan|Review|Weekly Review
14-Jan|11-Jan|Lesson|nodeJS Debugging with Chrome
14-Jan|13-Jan|Lesson|Building Exam Flowchart
14-Jan|13-Jan|Team Project |Presentations
14-Jan|14-Jan|DocPacs|Due
21-Jan|18-Jan|Review|Weekly Review
21-Jan|19-Jan|Lesson|Exam Prep
21-Jan|20-Jan|Exam|
21-Jan|21-Jan|DocPacs|Due
28-Jan|25-Jan|Review|Weekly Review
28-Jan|25-Jan|Lesson|JSON Read/Write
28-Jan|27-Jan|Exam|
28-Jan|28-Jan|DocPacs|Due
4-Feb|31-Jan|Review|Weekly Review
4-Feb|4-Feb|DocPacs |Due
