DocPac Date|Type|Assignment Name
Aug27|Print|Syllabus
Aug27|Page|DocPac Expectations
Aug27|Online|Javascript Initial Asessment
Sep10|Page|Creating Your Notebook
Sep10|Page|Creating Your Portfolio
Sep10|Page|DocPacs on Github
Sep10|Online|DocPac Github Repository
Sep17|Page|ExpressJS Middleware
Sep17|Page|ExpressJS Team Website
Sep24|Page|Notebook 4: EJS
Sep24|Page|Upgrade Your Team Website with EJS
Sep24|Online|Codecademy Setup
Sep24|Online|ExpressJS with EJS Links
Oct1|Online|Notebook Development
Oct8|Page|Team Documentation: Notebook Entry Format
Oct8|Page|Team Website Upgrade: Load Team Profiles from JSON
Oct8|Page|Team Website Upgrade: Save Query Parameters to JSON
Oct8|Print|Analysis: Team Composition
Oct15|Page|Notebook 5: HTML Submit Form Data
Oct15|Page|Notebook 6: ExpressJS POST Requests
Oct15|Page|Team Website Upgrade: Record Comments with HTML Form
Oct22|Page|Cover Letter
Oct22|Page|Your Resume
Oct22|Page|Upgrade Team Website: Comments Section
Oct22|Print|Available Team Projects
Oct29|Page|DocPac Binder Audit
Oct29|Page|Team Project Interviews
Oct29|Page|nodeJS/ExpressJS/EJS exam
Nov5|Page|Sending Professional Emails
Nov5|Page|Personal Improvement Plan
Nov5|Print|Personal Improvement Plan
Nov12|Page|Project Assignment Schedule
Nov12|Page|Quarter 2 Exam Expectations
Nov12|Print|Exam Preparation Plan
Nov19|Page|:)
Dec3|Print|JS Bootcamp Key TakeAways
Dec10|Print|JS Challenge Pt. 1
Dec17|Print|JS Challenge Pt. 2
Dec17|Print|JS Bootcamp (Dec15) Canvas + Iterators
Dec22|Print|JS Bootcamp Flow Chart (Dec21)
Dec22|Print|Winter Break Schedule
Jan7|Print|Design a Routine
Jan7|Print|Lesson Key Takeaways x 3
Jan7|Print|JS Challenges Pt. 3
Jan14|Page|Exam Preparation Progress Report
Jan14|Page|Team Project Presentation
Jan14|Page|Design a Routine
Jan14|Page|Reflection
Jan14|Print|Lesson Key Takeaways x 2
Jan14|Print|JS Challenges Pt. 4
Jan14|Print|JS Challenges Pt. 5
Jan21|Page|Exam Preperation
Jan21|Page|Reflection
Jan28|Page|Exam Preparation
Jan28|Page|DocPac Binder Audit
Jan28|Print|Lesson Key Takeaways
Jan28|Print|Reward System Brainstorm
Jan28|Page|Reflection
Feb4|Page|Single: Nocti Flowchart Preparation
Feb4|Page|Teams: DocPac Digitalization
Feb4|Print|Pairs: Javascript Challenge #7
Feb4|Print|Pairs: Javascript Challenge #8
Feb4|Page|Reflection
