DocPac Date|Type|Assignment Name
Aug27|Print|Signed Syllabus
Aug27|Print|Javascript Initial Assessment (js_assess.js)
Sep3|Seen|Build a Webserver Using nodejs (pg. 2)
Sep3|Seen|Sept. 1st: Github practice assignment (assigned in-class)
Sep3|Print|[data missing]
Sep10|Print|"""Notebook 1: Initialize Nodejs Project"""
Sep10|Print|"""Notebook 2: Nodejs HTTP Server"""
Sep10|Print|"""Portfolio 1: Nodejs HTTP Server"""
Sep17|Print|"""Express Middleware (pg. 2)"""
Sep17|Seen|"""ExpressJS Team Website (pg. 2)"""
Sep17|Print|Updated Version of this DocPac
Sep24|Seen|Upgrade Team Website with EJS
Sep24|Print|"""Notebook 4: ReactJS (pg. 2)"""
Sep24|Manual|"Codecademy ""Learn Javascript"" course, ""Introduction"" Chapter"
Oct1|Print|"""Notebook 1: Initializing Nodejs Project"""
Oct1|Print|"""Notebook 2: NodeJS HTTP Server"""
Oct1|Print|"""Notebook 3: Using ExpressJS with NodeJS"""
Oct1|Print|"""Notebook 4: Using EJS with ExpressJS"""
Oct1|Seen|Team Trello Board
Oct1|Manual|"Codecademy ""Learn Javascript"" course, ""Conditionals"" Chapter"
Oct8|Print|Team Documentation: Notebook Entry Format
Oct8|Print|Analysis: Team Composition
Oct8|Seen|Team Website Upgrade: Load Team Profiles from JSON
Oct8|Seen|Team Website Upgrade: Save Query Params to JSON
Oct8|Manual|"Codecademy ""Learn Javascript"" course, ""Functions"" Chapter"
Oct15|Print|Notebook 5: HTML Submit Form Data
Oct15|Print|ExpressJS POST Requests
Oct15|Seen|Team Website Upgrade: Record Comments with HTML Form
Oct15|Manual|Codecademy: Everything assigned in previous DocPacs
Oct22|Print|Cover Letter (pg. 2)
Oct22|Print|Your Resume (pg. 2)
Oct22|Manual|Codecademy: Learn Javascript, Scopes. Lesson, Project, and Quiz
Oct22|Seen|Upgrade Team Website: Comments Section (pg. 2)
Oct29|Print|Notebooks 1-6
Oct29|Print|DocPacs Aug17 - Oct29
Oct29|Manual|Codecademy: Learn Javascript, all chapters up to Scopes
Nov5|Print|Personal Improvement Plan
Nov5|Manual|Codecademy: Learn Javascript, Arrays. Lesson, Project, and Quiz
Nov12|Print|Exam Preparation Plan
Nov12|Manual|Codecademy: Learn Javascript, Loops. Lesson, Project, and Quiz
Nov19|Page|Exam Preparation Progress Report (pg. 2)
Nov19|Manual|Codecademy: Learn Javascript, Iterators. Lesson, Project, and Quiz
Dec3|Print|JS Bootcamp Key Take-Aways
Dec3|Online|All four days of JS Bootcamp 2122 accepted as pull requests into csmith1188/jsbootcamp2122 on GitHub.com
Dec3|Manual|Codecademy: Learn Javascript, Objects. Lesson, Project, and Quiz
Dec10|Page|Reflection
Dec10|Page|Exam Preparation Progress Report (pg. 2)
Dec10|Page|Team Project Goal (pg. 2)
Dec10|Print|JS Challenge Pt. 1
Dec10|Seen|Show instructor your Team Projects goal being met
Dec10|Online|Get your JS Bootcamp fork accepted as a Pull Request to the upstream
Dec10|Manual|Codecademy: All Codecademy complete (DocPac rejected if not complete!)
Dec17|Print|JS Challenge Pt. 2
Dec17|Print|JS Bootcamp (Dec15) Canvas + Iterators
Dec17|Page|Reflection
Dec17|Page|Exam Preparation Progress Report (pg. 2)
Dec17|Page|Team Project Goal (pg. 2)
Dec22|Page|Reflection (pg. 3)
Dec22|Page|Exam Preparation Progress Report (pg. 2)
Dec22|Page|Team Project Goal (pg. 2)
Dec22|Print|JS Bootcamp Flow Chart (Dec21)
Dec22|Print|Winter BReak Schedule
Jan7|Page|Reflection (pg. 3)
Jan7|Print|Lesson Key Takeaways x 3
Jan7|Print|JS Challenges Pt. 3
Jan7|Page|Exam Preparation Progress Report (pg. 2)
Jan7|Page|Team Project Goal (pg. 2)
Jan14|Page|Exam Preparation Progress Report (pg. 2)
Jan14|Page|Reflection (pg. 3)
Jan14|Print|Design a Routine
Jan14|Print|Lesson Key Takeaways x 3
Jan14|Print|JS Challenges Pt. 4
Jan14|Print|JS Challenges Pt. 5
Jan14|Seen|Team Project Presentation
Jan21|Page|Reflection (pg. 3)
Jan28|Print|Lesson Key Takeaways
Jan28|Print|Reward System Brainstorm
Jan28|Page|Reflection (pg. 3)
Feb4|Print|Single: Nocti Flowchart Preparation (pg. 2)
Feb4|Print|Pairs: Javascript Challenge #7
Feb4|Print|Pairs: Javascript Challenge #8
Feb4|Online|Teams: DocPac Digitalization (pg. 2)
Feb4|Page|Reflection (pg. 3)
